played_on,competition,competition_edition,round_name,team_a,team_b,winner_team,sequence_number,team_name,player_name,goalkeeper_name,outcome,source_provider,source_url,source_row_key,retrieved_at_utc
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,1,France,Ousmane Dembélé,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374478,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,2,Portugal,Cristiano Ronaldo,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374479,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,3,France,Youssouf Fofana,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374480,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,4,Portugal,Bernardo Silva,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374481,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,5,France,Jules Koundé,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374482,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,6,Portugal,João Félix,,missed,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374483,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,7,France,Bradley Barcola,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374484,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,8,Portugal,Nuno Mendes,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374485,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,9,France,Theo Hernández,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374486,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,1,England,Cole Palmer,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377763,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,2,Switzerland,Manuel Akanji,,missed,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377764,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,3,England,Jude Bellingham,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377776,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,4,Switzerland,Fabian Schär,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377780,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,5,England,Bukayo Saka,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377788,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,6,Switzerland,Xherdan Shaqiri,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377789,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,7,England,Ivan Toney,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377794,2026-06-30T12:00:00+00:00
